la-oll-a	laol-l-a
mo-mmuso	mmmmuso
arab-el-a-ng	arab-el-a-ng
di-tlhoko	di-tlhoko
le	le
di-takatso	di-takatso
tsa	ts-a
ba-tho	ba-tho
le	le
sebets-a-ng	sebets-a-ng
betere	betere
le	le
ka	ka
potlako	n-potlako
se-lemo	se-lemo
sena	se-na
l-e-ng	le-ng
tla	tl-a
b-a	ba
se-lemo	se-lemo
sa	sa
ho	ho
sebets-a	sebets-a
seo	se-o
tla	tl-a
b-a	ba
se-supo	se-supo
se	se
hlalos-a-ng	hlalos-a-ng
tsamaiso	tsamaiso
ena	ena
tla	tl-a
b-a	ba
hore	hore
tseb-a	tseb-a
moo	moo
ba-tho	ba-tho
ba	ba
dul-a-ng	dul-a-ng
utlw-is-is-a	utlw-is-is-a
di-tlhoko	di-tlhoko
mme	mo-mme
arab-el-a	arab-el-a
ka	ka
potlako	n-potlako
mo-mmuso	mmmmuso
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
ka	ka
potlako	n-potlako
haholo	haholo
le	le
ka	ka
ma-kgethe	ma-kgethe
re	re
tla	tl-a
lebel-l-a	lebel-l-a
hore	hore
bo-okamedi	bo-okamedi
le	le
n-tshebeletso	n-tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
di	di
i-pap-is-e	i-pap-is-e
le	le
n-pono	n-pono
ena	ena
re	re
ah-a	ah-a
mo-mmuso	mmmmuso
tsepam-is-its-e-ng	tsepam-is-its-e-ng
ma-ikutlo	ma-ikutlo
n-tshebetso-ng	n-tshebetsong
ka	ka
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
me-ralo	me-ralo
le	le
ho	ho
beh-a	beh-a
n-tshebetso	n-tshebetso
le-ihlo	le-ihlo
le	le
ho	ho
hlahlob-a	hlahlob-a
re	re
bo-e-ts-e	bo-e-ts-e
re	re
lok-el-a	lok-el-a
ho	ho
hok-ah-any-a	hok-aha-ny-a
me-kgwa	me-kgwa
ya	y-a
n-tekatekano	n-tekatekano
ya	y-a
bo-ng	bong
ho	ho
le-naneo	le-naneoo
la	la
mo-mmuso	mmmmuso
la	la
n-tshebetso	n-tshebetso
mo-hato	mo-hato
ona	ona
wa	w-a
n-tshebetso	n-tshebetso
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-sadi	ba-sadi
ba-na	ban-a
le	le
ba-tho	ba-tho
ba	ba
n-a-ng	nang
le	le
bo-qhwala	bo-qhwala
ba	ba
kgon-a	kgon-a
ho	ho
fihl-el-l-a	fihl-el-l-a
me-nyetla	me-nyetla
ya	y-a
n-tshetsopele	ntshetsopele
re	re
thab-el-a	thab-el-a
ho	ho
phatlala-ts-a	phatlala-ts-a
tsela	tsel-a
ntjha	ntjha
ya	y-a
ets-a	ets-a
di-ntho	di-ntho
mo-mmuso-ng	mmusong
mo-sebetsi	mo-sebetsi
wa	w-a
ma-fapha	ma-fapha
tla	tl-a
meth-w-a	me-thwa
ka	ka
di-phetho	di-phetho
tla	tl-a
ntsh-ets-w-a	ntsh-ets-w-a
pele	pele
ke	ke
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
ho	ho
beh-a	beh-a
le-ihlo	le-ihlo
n-tlhatlhobo	n-tlhatlhobo
ma-tona	ma-tona
ik-arab-el-l-a-ng	ik-arab-el-l-l-l-l-l-l-l-a-ng
se-bake-ng	bakeng
sa	sa
se-phetho	se-phetho
se	se
its-e-ng	i-ts-e-ng
tla	tl-a
teken-a	n-tekena
n-tumellano	n-tumelano
ya	y-a
ho	ho
f-an-a	f-an-a
ka	ka
di-tshebeletso	di-tshebeletso
teb-il-e-ng	teb-il-e-ng
le	le
mo-presidente	mo-presidentente
tla	tl-a
hlalos-a	hlalos-a
se	se
lok-el-a-ng	lok-el-a-ng
ho	ho
ets-w-a	ets-w-a
hore	hore
se	se
ets-w-e	ets-w-e
jwang	jw-a-ng
ke	ke
ma-ng	mang
se-bake-ng	bakeng
sa	sa
n-ako	n-ako
its-e-ng	i-ts-e-ng
mme	mo-mme
ho	ho
sebed-is-w-a	sebed-is-w-a
mo-kgwa	mo-kgwa
ofe	ofe
wa	w-a
ho	ho
meth-a	me-tha
le	le
me-hlodi	me-hlodi
jwaloka	jwalok-a
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
i-tlam-m-e	i-tlam-e
ka	ka
di-ntlha	di-ntlha
tse	tse
hlano	hlano
tse	tse
ka	ka
se-hlohlolong	se-hloohlong
n-thuto	n-thuto
bo-phelo	bo-phelo
bo	bo
botle	botle
n-tshetsopele	ntshetsopele
ya	y-a
me-tse	me-tse
ya	y-a
ma-hae	ma-hae
le	le
ntjhafatso	n-ntjhafatso
ya	y-a
n-aha	nah-a
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
its-e-ng	i-ts-e-ng
tjha	n-tjha
le	le
n-twantsho	twantsho
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
ho	ho
tla-ts-el-ets-a	tla-ts-el-ets-a
re	re
tla	tl-a
sebets-a	sebets-a
ka	ka
ma-tla	matla
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	n-tshebetso
tsw-il-e-ng	tsw-il-e-ng
ma-tsoho	ma-tsooho
ya	y-a
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
n-tshetsopele	ntshetsopele
ya	y-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
le	le
bo-dulo	bo-dulo
ba	ba
ba-tho	ba-tho
re	re
tla	tl-a
i-tlam-a	itlam-a
ka	ka
ho	ho
ets-a	ets-a
di-ketso	di-ketso
tse	tse
mo-mmalwa	mo-mmmmmmmmmmalwa
tsa	ts-a
bo-hlokwa	bo-hlokwa
hore	hore
re	re
fihl-el-l-e	fihl-el-l-e
di-phetho	di-phetho
tsena	tsena
re	re
be-il-e	be-il-e
n-thuto	n-thuto
le	le
n-tshetsopele	ntshetsopele
ya	y-a
bo-kgoni	bo-kgoni
bo-hare-ng	bo-hareng ===========================================================
ba	ba
ma-ano	ma-ano
mo-mmuso	mmmmuso
ona	ona
le-naneo-ng	le-naneong
la	la
rona	ron-a
la	la
re	re
batl-a	batl-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
bo-kgoni	bo-kgoni
ba	ba
ba-na	ban-a
ba	ba
rona	ron-a
ba	ba
ho	ho
bal-a	bal-a
ho	ho
ngol-a	ngol-a
le	le
ho	ho
ets-a	ets-a
di-palo	di-palo
di-lemo-ng	di-lemong
tsa	ts-a
mo-theo	mo-theo
n-tle	ntl-e
le	le
hore	hore
re	re
ets-e	ets-e
sena	se-na
re	re
ke	ke
ke	ke
ra	ra
ntla-fa-ts-a	ntla-fa-ts-a
bo-leng	boleng
ba	ba
n-thuto	n-thuto
ma-ikemisetso	ma-ikemisetso
rona	ron-a
ka	ka
n-thuto	n-thuto
bo-nolo	bonolo
empa	emp-a
hlokolotsi	hlokolotsi
re	re
batl-a	batl-a
ba-rutwana	ba-rutwana
le	le
ma-titjhere	ma-titjhere
ba	ba
b-e	be
se-kolo-ng	se-kolong
ka	ka
n-phaposi-ng	phaposing
ka	ka
n-ako	n-ako
ba	ba
i-thut-a	i-thut-a
le	le
ho	ho
rut-w-a	rut-w-a
se-bake-ng	bakeng
sa	sa
di-hora	di-hora
tse	tse
sup-il-e-ng	sup-il-e-ng
ka	ka
le-tsatsi	le-tsatsi
re	re
tla	tl-a
thus-a	thus-a
ma-titjhere	ma-titjhere
ka	ka
ho	ho
ba	ba
neh-a	neh-a
bo-itokisetso	bo-itokisetso
ba	ba
le-tsatsi	le-tsatsi
le	le
le-tsatsi	le-tsatsi
bo	bo
teb-il-e-ng	teb-il-e-ng
se-bake-ng	bakeng
sa	sa
ba-rutwana	ba-rutwana
re	re
tla	tl-a
nehel-an-a	nehel-an-a
ka	ka
di-buka	di-buka
tse	tse
tla	tl-a
sebed-is-w-a-ng	sebed-is-w-a-ng
ha	ha
bo-nolo	bonolo
ka	ka
di-puo	di-puo
tsohle	tsohle
tse	tse
ho	ho
tloh-a	tloh-a
se-lemo-ng	se-lemong
sena	se-na
ho	ho
y-a	y-a
pele	pele
ba-rutwana	ba-rutwana
bohle	bo-hle
ba	ba
kereiti	kereiti
ya	y-a
bo-raro	boraro
ya	y-a
bo-tshelela	bo-tshelela
le	le
ya	y-a
bo-robong	bo-robong
ba	ba
tla	tl-a
ngol-a	ngol-a
di-hlahlobo	di-hlahlobo
tsa	ts-a
litherasi	lith-eras-i
le	le
nyumerasi	nyumerasi
tse	tse
leko-ts-w-e-ng	leko-ts-w-e-ng
ka	ka
bo-ikemelo	bo-ikemelo
se-pheo	se-pheo
sa	sa
rona	ron-a
ke	ke
ho	ho
nyoll-a	nyol-a
se-kgahla	se-kgahla
sa	sa
ho	ho
pas-a	pasa
se-bake-ng	bakeng
sa	sa
di-tlhatlhobo	di-tlhathlhobo
tsena	tsena
ho	ho
tloh-a	tloh-a
n-palohare-ng	palohar-e-ng
ya	y-a
hona	hon-a
jwale	jwale
le	le
tse	tse
ho	ho
y-a	y-a
ho	ho
tse	tse
ka	ka
se-phetho	se-phetho
se	se
tla	tl-a
rom-el-l-w-a	rom-el-l-w-a
ba-tswadi	ba-tswadi
ho	ho
lekol-a	lekol-a
tswelopele	tsw-el-opele
ho	ho
tla-ts-el-ets-a	tla-ts-el-ets-a
se-kolo	se-kolo
ka	ka
se-ng	se-ng
sa	sa
tse	tse
tsa	ts-a
rona	ron-a
di	di
tla	tl-a
hlahloj-w-a	hlahloj-w-a
ke	ke
ba-hlanka	ba-hlanka
ba	ba
tsw-a-ng	tsw-a-ng
le-faphe-ng	le-fapheng
la	la
n-thuto	n-thuto
ya	y-a
mo-theo	mo-theo
sena	se-na
se	se
tla	tl-a
beh-w-a	beh-w-a
tlaleho-ng	tlalehong
ngo-ts-w-e-ng	ngo-ts-w-e-ng
hlahlob-eh-a-ng	hlahlob-eh-a-ng
re	re
rer-il-e	rer-il-e
ho	ho
nyoll-a	nyol-a
n-palo	n-palo
ya	y-a
ba-rutwana	ba-rutwana
ba	ba
materiki	ma-teriki
ba	ba
lok-el-a-ng	lok-el-a-ng
ho	ho
ken-a	kena
yunivesithi	yunivesithi
ho	ho
fihl-a	fihl-a
ho	ho
ka	ka
se-lemo	se-lemo
ho	ho
y-a	y-a
ho	ho
se-lemo	se-lemo
sa	sa
re	re
kgothal-e-ts-a	kgothal-e-ts-a
ba-tswadi	ba-tswadi
ho	ho
sebets-a	sebets-a
mmoho	moho
le	le
rona	ron-a
ho	ho
atl-eh-is-a	atl-eh-is-a
mo-rero	mo-rero
ona	ona
re	re
amohel-a	amohel-a
n-peho	n-peho
ya	y-a
kgwedi	kgwedi
fet-il-e-ng	fet-il-e-ng
e-nts-w-e-ng	ents-w-e-ng
ke	ke
me-kgatlo	me-kgatlo
meraro	me-raro
ya	y-a
ma-titjhere	ma-titjhere
naptosa	napto-to-s-a
sadtu	sadtu
saou	saou
ka	ka
ho	ho
that-is-el-l-ets-a	that-is-el-l-ets-a
bo-itlamo	bo-itlamo
ba	ba
bona	bon-a
se-bake-ng	bakeng
sa	sa
le-tsholo	le-tsholo
la	la
bo-leng	boleng
ba	ba
ho	ho
i-thut-a	i-thut-a
le	le
ho	ho
rut-a	rut-a
ho	ho
tloh-a	tloh-a
ya	y-a
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
lok-el-a	lok-el-a
ho	ho
tset-el-a	tset-el-a
ba-tjhe-ng	batjh-e-ng
ba	ba
rona	ron-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
re	re
le	le
le-botho	le-botho
le	le
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
le	le
ba-sebetsi	ba-sebetsi
ba	ba
n-a-ng	nang
le	le
bo-kgoni	bo-kgoni
se-bake-ng	bakeng
sa	sa
ho	ho
tshehets-a	tshehets-a
n-kgolo	n-kgolo
le	le
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
ha	ha
ho	ho
l-e	le
jwalo	jwalo
re	re
ik-em-is-ed-its-e	ik-em-is-ed-its-e
ho	ho
nyoll-a	nyol-a
n-thupello	n-thupello
ya	y-a
ba	ba
di-lemo-ng	di-lemong
tse	tse
di-tsi-ng	di-tsing
n-thuto	n-thuto
le	le
n-thupello	n-thupello
tsw-el-l-a-ng	tsw-el-l-a-ng
sena	se-na
se	se
tla	tl-a
ets-a	ets-a
hore	hore
re	re
f-an-e	fane
ka	ka
mo-nyetla	monyetla
wa	w-a
bo-bedi	bobedi
n-thuto-ng	n-thutong
se-bake-ng	bakeng
sa	sa
ba-rutwana	ba-rutwana
ba	ba
sa	sa
fihl-el-l-a-ng	fihl-el-l-a-ng
ho	ho
ken-a	kena
yunivesithi	yunivesithi
re	re
sebets-a	sebets-a
le	le
di-theo	di-theo
tsa	ts-a
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-rutwana	ba-rutwana
ba	ba
lok-el-a-ng	lok-el-a-ng
ba	ba
fuman-a	fuman-a
thuso	n-thuso
ya	y-a
di-tjhelete	di-tjhelete
ka	ka
se-kema	se-kema
sa	sa
se-tjhaba	se-tjhaba
sa	sa
thuso	n-thuso
ya	y-a
ba-ithuti	ba-ithuti
ka	ka
di-tjhelete	di-tjhelete
re	re
b-il-e	bil-e
re	re
i-peh-e-ts-e	i-peh-e-ts-e
di-pheo	di-pheo
se-bake-ng	bakeng
sa	sa
n-tshetsopele	ntshetsopele
ya	y-a
di-thupello	di-thupello
ho	ho
hlah-is-a	hlah-is-a
di-enjenere	di-enjenere
le	le
bo-ratekgeniki	bo-ratekgeniki
ba	ba
tlatsetso	tlatsetso
le	le
ho	ho
ekets-a	ekets-a
le-nane	le-nane
la	la
ma-titjhere	ma-titjhere
n-thuto	n-thuto
ya	y-a
di-palo	di-palo
le	le
saense	saense
hapehape	hap-eh-ape
re	re
lok-e-ts-e	lok-e-ts-e
ho	ho
phaham-is-a	phaham-is-a
le-nane	le-nane
la	la
ba-tjha	batjh-a
ba	ba
ken-el-a-ng	ken-el-a-ng
di-thupelo	di-thupelo
tsa	ts-a
mo-sebetsi	mo-sebetsi
ma-faphe-ng	ma-fapheng
poraefete	poraefete
le	le
mo-mmuso	mmmmuso
se-phetho	se-phetho
se	se
seng	se-ng
sa	sa
bo-hlokwa	bo-hlokwa
ke	ke
ho	ho
nete-fa-ts-a	nete-fa-ts-a
bo-phelo	bo-phelo
bo	bo
bolelele	bolel-el-e
le	le
bo	bo
botle	botle
se-bake-ng	bakeng
sa	sa
ma-aforika	ma-aforika
bo-rwa	bo-rwa
kaofela	n-kaofela
re	re
tla	tl-a
pheh-el-l-a	pheh-el-l-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
mo-kgwa	mo-kgwa
wa	w-a
rona	ron-a
wa	w-a
tsa	ts-a
bo-phelo	bo-phelo
bo	bo
botle	botle
sena	se-na
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
n-kaho	n-kaho
le	le
ntlafatso	n-ntlafatso
ya	y-a
di-petlele	di-petlele
le	le
di-tliliniki	di-tliliniki
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
ma-emo	ma-emo
n-tshebetso	n-tshebetso
ba-sebeletsi	ba-sebeletsi
ba	ba
tsa	ts-a
bo-phelo	bo-phelo
re	re
i-mataha-n-ts-e	imatahan-ts-e
le	le
banka	bank-a
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
aforika	aforika
bo-rwa	bo-rwa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	n-tshebetso
ya	y-a
di-petlele	di-petlele
tsa	ts-a
se-tjhaba	se-tjhaba
le	le
di-ofisi	di-ofisi
tsa	ts-a
tsona	tson-a
tsa	ts-a
di-tereke	di-tereke
re	re
b-il-e	bil-e
re	re
sebets-a	sebets-a
mmoho	moho
le	le
banka	bank-a
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
aforika	aforika
bo-rwa	bo-rwa
le	le
koporasi	koporasi
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
di-indaseteri	di-indaseteri
le-naneo-ng	le-naneong
la	la
mo-mmuso	mmmmuso
la	la
ho	ho
matahan-y-a	ma-taha-ny-a
n-tshebedisano	n-tshebedisano
ma-hare-ng	ma-hareng
me-kgatlo	me-kgatlo
ya	y-a
poraefete	poraefete
le	le
ya	y-a
mo-mmuso	mmmmuso
se-bake-ng	bakeng
sa	sa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
di-petlele	di-petlele
le	le
n-phano	n-phano
ya	y-a
di-tjhelete	di-tjhelete
se-bake-ng	bakeng
sa	sa
di-porojeke	di-porojeke
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
re	re
lok-el-a	lok-el-a
ho	ho
tob-an-a	tob-an-a
le	le
nnete	nete
ya	y-a
hore	hore
n-tebello	n-tebello
ya	y-a
n-ako	n-ako
ya	y-a
ho	ho
phel-a	phela
ha	ha
ma-sea	masea
hlah-a-ng	hlah-a-ng
theoh-il-e	theoh-il-e
ho	ho
tloh-a	tloh-a
di-lemo-ng	di-lemong
tse	tse
ka	ka
ho	ho
y-a	y-a
ka	ka
tlasenyana	tla-s-eny-an-a
ho	ho
di-lemo	di-lemo
tse	tse
kajeno	n-kajeno
ha	ha
ho	ho
l-e	le
jwalo	jwalo
re	re
ets-a	ets-a
bo-itshunyako	bo-itshunyanyakakaka
ba	ba
ho	ho
theo-l-a	theol-a
se-kgahla	se-kgahla
sa	sa
ho	ho
shw-a	shwa
ha	ha
bo-mme	bom-m-e
ba	ba
ma-sea	masea
ho	ho
fokots-a	fokots-a
tshwaetso	tshwaetso
tse	tse
ntjha	ntjha
tsa	ts-a
hiv	hiv
le	le
ho	ho
phekol-a	phekol-a
hiv	hiv
le	le
tb	tb
ka	ka
ho	ho
pheth-ahal-a	pheth-ahala
re	re
tla	tl-a
bo-el-a	bo-el-a
re	re
fokots-a	fokots-a
ho	ho
shw-a	shwa
ha	ha
ma-sea	masea
ka	ka
le-naneo	le-naneoo
le	le
ma-tla	matla
la	la
n-kentelo	n-kentelo
re	re
tla	tl-a
tso-s-el-ets-a	tso-s-el-ets-a
ma-naneo	ma-naneooooooo
bo-phelo	bo-phelo
bo	bo
botle	botle
di-kolo-ng	di-kolong
re	re
tla	tl-a
ke-ny-a	ke-ny-a
n-tshebetso-ng	n-tshebetsong
bo-itlamo	bo-itlamo
bohle	bo-hle
bo	bo
e-nts-w-e-ng	ents-w-e-ng
ka	ka
le-tsatsi	le-tsatsi
la	la
le-fatshe	le-fatshe
la	la
aids	ads
tse	tse
am-an-a-ng	am-an-a-ng
le	le
me-kgwa	me-kgwa
metjha	metjha
ya	y-a
ho	ho
thib-el-a	thib-el-a
hiv	hiv
le	le
ho	ho
phekol-a	phekol-a
mo-sebetsi	mo-sebetsi
ma-tla	matla
s-e	se
l-e	le
mo-tjhe-ng	mo-tjheng
se-bake-ng	bakeng
sa	sa
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-sebetsi	mo-sebetsi
oo	ooo
n-ako-ng	n-akong
re	re
tla	tl-a
bo-el-a	bo-el-a
re	re
tsw-el-a	tsw-el-a
pele	pele
ka	ka
bo-itokisetso	bo-itokisetso
ba	ba
ho	ho
theh-a	theh-a
tsela	tsel-a
ya	y-a
se-tjhaba	se-tjhaba
ya	y-a
inshorense	inshor-ens-e
ya	y-a
bo-phelo	bo-phelo
bo	bo
botle	botle
ma-aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
re	re
sebets-a	sebets-a
ka	ka
thata	n-thata
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-tho	mo-tho
mong	mong
le	le
mong	mong
ik-utlw-e	ik-utl-w-e
bolok-eh-il-e	bolok-eh-il-e
le	le
hore	hore
bolok-eh-il-e	bolok-eh-il-e
ka	ka
hara	hara
aforika	aforika
bo-rwa	bo-rwa
re	re
tla	tl-a
ntsh-ets-a-pele	ntshets-a- pele
mo-sebetsi	mo-sebetsi
wa	w-a
rona	ron-a
wa	w-a
ho	ho
fokots-a	fokots-a
di-tlolo	di-tlolo
tse	tse
mpe	mpe
le	le
tse	tse
n-a-ng	nang
le	le
me-rusu	me-rusu
tsa	ts-a
mo-lao	mo-lao
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
n-toka	n-toka
sebets-a	sebets-a
ka	ka
ho	ho
pheth-ahal-a	pheth-ahala
re	re
nts-e	nts-e
re	re
ke-ny-a	ke-ny-a
n-tshebetso-ng	n-tshebetsong
me-ralo	me-ralo
ya	y-a
ho	ho
ekets-a	ekets-a
le-nane	le-nane
la	la
ma-polesa	ma-polesa
ba-nna	ban-a
le	le
ba-sadi	ba-sadi
ka	ka
di-lemo-ng	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tl-a-ng
re	re
hlwa-il-e	hlwa-il-e
n-twa	nt-w-a
n-kgahlano-ng	n-kgahlanong
le	le
ho	ho
nk-el-w-a	nk-el-w-a
di-koloi	di-koloi
ha	ha
ba-tho	ba-tho
ka	ka
ma-hahapa	ma-haphapa
tlatlapo	tlatlapo
ya	y-a
tsa	ts-a
n-kgwebo	n-kgwebo
le	le
ma-tlo-ng	ma-tlong
mmoho	moho
le	le
di-tlolo	di-tlolo
tsa	ts-a
mo-lao	mo-lao
tse	tse
jwaloka	jwalok-a
n-polao	n-polao
n-peto	n-peto
le	le
ho	ho
otl-w-a	otl-w-a
l-e	le
tsona	tson-a
tse	tse
k-a	ka
se-hlohong	se-hloooohong
bohle	bo-hle
re	re
le	le
n-karolo	n-karolo
eo	eo
re	re
lok-el-a-ng	lok-el-a-ng
ho	ho
bapal-a	bapal-a
ha	ha
re	re
b-e-ng	beng
n-karolo	n-karolo
ya	y-a
di-foramo	di-foramo
tsa	ts-a
ba-ahi	ba-ahi
tsa	ts-a
n-polokeho	n-polokeho
ha	ha
re	re
tloh-el-e-ng	tloh-el-e-ng
ho	ho
rek-a	rek-a
thepa	thep-a
utsw-its-w-e-ng	utsw-its-w-e-ng
ka	ka
di-nako	di-nako
tsohle	tsohle
ha	ha
re	re
b-e-ng	beng
ma-lala	ma-lala
la-o-ts-w-e	lao-ts-w-e
ho	ho
f-an-a	f-an-a
ka	ka
n-tlhahiso	n-tlhahiso
le-sedi-ng	le-seding
ya	y-a
di-ketso	di-ketso
tsa	ts-a
bo-tlokotsebe	bo-tlokotsebe
se-polese-ng	se-poleseng
n-tshebedisano	n-tshebedisano
mmoho	moho
etl-a	etl-a
lw-an-tsh-a	lwantsh-a
bo-tlokotsebe	bo-tlokotsebe
ba-heso	ba-heso
le	le
ba-eti	ba-eti
ba	ba
hlomph-eh-a-ng	hlomph-eh-a-ng
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
bo-masepala	bo-masepala
ba	ba
lok-el-a	lok-el-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-phano	n-phano
ya	y-a
ma-tlo	ma-tlo
me-tsi	me-tsi
n-tlhweko	n-tlhweko
mo-tlakase	mo-tlakase
n-taolo	n-taolo
ya	y-a
ma-tlakala	matlakala
le	le
di-tsela	di-tsela
re	re
il-e	il-e
ra	ra
tshwar-a	tshwar-a
n-kopano	n-kopano
le	le
bo-majoro	bo-majoro
le	le
ba-laodi	ba-laodi
ba	ba
bo-masepala	bo-masepala
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
sena	se-na
se	se
f-an-e	fane
ka	ka
le-sedi	le-sedi
la	la
bo-hlokwa	bo-hlokwa
se-bake-ng	bakeng
sa	sa
di-phephetso	di-phephetso
tse	tse
teng	n-teng
ka	ka
hara	hara
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
re	re
il-e	il-e
ra	ra
bo-el-a	bo-el-a
ra	ra
et-el-a	et-el-a
ba-ahi	ba-ahi
le	le
bo-masepala	bo-masepala
ba	ba
fapan-e-ng	fapan-e-ng
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
balfour	ba-lfour
mpumalanga	mpumalanga
le	le
thembisa	themb-is-a
gaute-ng	gaut-e-ng
le-eto	le-eto
la	la
balfour	ba-lfour
re	re
il-e	il-e
ra	ra
rom-el-a	rom-el-a
mo-ifo	mo-ifo
wa	w-a
ma-tona	ma-tona
robong	robong
ho	ho
et-el-a	et-el-a
n-tulo	n-tulo
eo	eo
ho	ho
sheb-an-a	sheb-an-a
le	le
di-ntlha	di-ntlha
tse	tse
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ke	ke
ba-ahi	ba-ahi
di-ntlha	di-ntlha
tse	tse
ngata	ngata
ho	ho
s-e	se
ho	ho
mekamekan-w-e	mekamek-an-w-e
le	le
tsona	tson-a
ke	ke
la-e-ts-e	la-e-ts-e
ma-tona	ma-tona
ho	ho
mekamekan-a	me-kamekana
le	le
di-taba	di-taba
tse	tse
nts-e-ng	nts-e-ng
di	di
sal-ets-e	sal-e-ts-e
mo-rao	mo-rao
re	re
sa	sa
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
hore	hore
ha	ha
hona	hon-a
di-ngongoreho	di-ngongoreho
tse	tse
ka	ka
ets-a-ng	ets-a-ng
hore	hore
ba-tho	ba-tho
ba	ba
ets-e	ets-e
me-rusu	me-rusu
le	le
ho	ho
seny-a	se-nya
thepa	thep-a
re	re
la-e-ts-e	la-e-ts-e
ma-kala	ma-kala
tsa	ts-a
mo-lao	mo-lao
hore	hore
lw-an-tsh-e	lwantshe
ho	ho
hlok-a	hlok-a
n-taolo	n-taolo
ka	ka
ma-tla	matla
balfour	ba-lfour
le	le
di-tulo-ng	di-tulong
tse	tse
ding	di-ng
ka	ka
tshitwe	tshit-w-e
kabinete	kabinete
dumel-l-an-e	dumel-l-an-e
ka	ka
le-wa	le-wa
la	la
n-tshebetso	n-tshebetso
se-bake-ng	bakeng
sa	sa
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
sena	se-na
se	se
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
le	le
bo-laodi	bo-laodi
bo	bo
hlwahlwa	hlwahl-w-a
bo-kgoni	bo-kgoni
ba	ba
tsamaiso	tsamaiso
le	le
ba	ba
bo-tekginiki	bo-tekginiki
se-lemo-ng	se-lemong
sena	se-na
sa	sa
n-tshebetso	n-tshebetso
ha	ha
re	re
sebets-e-ng	sebets-e-ng
mmoho	moho
ho	ho
ets-a	ets-a
hore	hore
mo-mmuso	mmmmuso
wa	w-a
le-hae	le-hae
b-e	be
bo-ikarabelo	bo-ikarabelo
ba	ba
rona	ron-a
kaofela	n-kaofela
re	re
sebe-lets-a	sebe-lets-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
bo-dulo	bo-dulo
le	le
ho	ho
f-an-a	f-an-a
ka	ka
di-tshebeletso	di-tshebeletso
ba-tho-ng	ba-thong
ba	ba
me-khukhu	me-khukhu
du-ts-e-ng	duts-e-ng
n-tulo-ng	n-tulong
tse	tse
hantle	hantle
tse	tse
hlwahlwa	hlwahl-w-a
le	le
ho	ho
f-an-a	f-an-a
le	le
di-tokelo	di-tokelo
tsa	ts-a
n-aha	nah-a
ho	ho
bo-nyane	bonyane
ma-tlo	ma-tlo
ka	ka
re	re
rer-a	rer-a
ho	ho
beh-el-l-a	beh-el-l-a
