la-oll-a	laol-l-a
ma-tla	matla
tsw-el-a-ng	tsw-el-a-ng
pele	pele
Re	re
its-e	i-ts-e
tla	tla
b-a	ba-
mo-mmuso	mo-uso
arab-el-a-ng	arab-el-a-ng
di-tlhoko	di-tlhoko
le	le
di-takatso	di-takatso
tsa	tsa
ba-tho	ba-tho
le	le
sebets-a-ng	sebets-a-ng
betere	betere
le	le
ka	k-a
potlako	n-potlako
se-lemo	se-lemo
sena	se-na
l-e-ng	le-ng
tla	tla
b-a	ba
se-lemo	se-lemo
sa	sa
ho	ho
sebets-a	sebets-a
Seo	se-o
tla	tla
b-a	ba
se-supo	se-supo
se	se
hlalos-a-ng	hlalos-a-ng
tsamaiso	tsamaiso
ena	ena
tla	tla
b-a	ba
hore	hore
tseb-a	tseb-a
moo	mo-o
ba-tho	ba-tho
ba	ba
dul-a-ng	dul-a-ng
utlw-is-is-a	utlw-is-is-a
di-tlhoko	di-tlhoko
mme	moe
arab-el-a	arab-el-a
ka	k-a
potlako	n-potlako
mo-Mmuso	mo-uso
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
ka	k-a
potlako	n-potlako
haholo	haholo
le	le
ka	k-a
ma-kgethe	ma-kgethe
Re	re
tla	tla
lebel-l-a	lebel-l-a
hore	hore
Bo-okamedi	bo-okamedi
le	le
N-Tshebeletso	tshebeleletso
ya	y-a
se-tjhaba	se-tjhaba
di	di
i-pap-is-e	i-pap-is-e
le	le
n-pono	n-nono
ena	en-a
Re	re
ah-a	aha
mo-mmuso	mo-uso
tsepam-is-its-e-ng	tsep-m-is-its-e-ng
ma-ikutlo	ma-ikutlo
n-tshebetso-ng	tshebetsong
ka	k-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
me-ralo	me-ralo
le	le
ho	ho
beh-a	beh-a
n-tshebetso	tshebetso
le-ihlo	le-ihlo
le	le
ho	ho
hlahlob-a	hlahlob-a
Re	re
bo-e-ts-e	bo-ets-e
re	re
lok-el-a	lok-el-a
ho	ho
hok-ah-any-a	hok-ah-any-a
me-kgwa	me-kgwa
ya	y-a
n-tekatekano	n-tekatekano
ya	y-a
bo-ng	bo-ng
ho	ho
le-naneo	le-naneo
la	la
mo-Mmuso	mo-uso
la	la
N-Tshebetso	tshebetso
mo-hato	mo-hato
ona	ona
wa	waa
n-tshebetso	tshebetso
tla	tla
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-sadi	ba-sadi
ba-na	ba-na
le	le
ba-tho	ba-tho
ba	ba-
n-a-ng	nang
le	le
bo-qhwala	bo-qhwala
ba	ba
kgon-a	kgon-a
ho	ho
fihl-el-l-a	fihl-el-l-a
me-nyetla	me-nyetla
ya	y-a
n-tshetsopele	ntshetsopele
Re	re
thab-el-a	thab-el-a
ho	ho
phatlala-ts-a	phatlala-ts-a
tsela	tsel-a
ntjha	ntjha
ya	y-a
ets-a	ets-a
di-ntho	di-ntho
mo-mmuso-ng	mousong
mo-sebetsi	mo-sebetsi
wa	waa
ma-fapha	ma-fapha
tla	tla
meth-w-a	me-thwa
ka	k-a
di-phetho	di-phetho
tla	tla
ntsh-ets-w-a	ntshets-w-a
pele	pele
ke	ke
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
ho	ho
beh-a	beh-a
le-ihlo	le-ihlo
n-tlhatlhobo	tlhatlhobo
ma-tona	ma-tona
ik-arab-el-l-a-ng	ik-arab-el-l-a-ng
se-bake-ng	ba-keng
sa	sa
se-phetho	se-phetho
se	se
its-e-ng	i-ts-e-ng
tla	tla
teken-a	teken-a
n-tumellano	n-tumellano
ya	y-a
ho	ho
f-an-a	f-an-a
ka	k-a
di-tshebeletso	di-tshebeletso
teb-il-e-ng	teb-il-e-ng
le	le
mo-presidente	mo-presidente
tla	tla
hlalos-a	hlalos-a
se	se
lok-el-a-ng	lok-el-a-ng
ho	ho
ets-w-a	ets-w-a
hore	hore
se	se
ets-w-e	ets-w-e
jwang	jwan-ng
ke	ke
ma-ng	mang
se-bake-ng	ba-keng
sa	sa
n-ako	n-ako
its-e-ng	i-ts-e-ng
mme	moe
ho	ho
sebed-is-w-a	sebed-is-w-a
mo-kgwa	mo-kgwa
ofe	ofe
wa	wa
ho	ho
meth-a	me-tha
le	le
me-hlodi	me-hlodi
Jwaloka	jwalok-a
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
i-tlam-m-e	i-tlamm-e
ka	k-a
di-ntlha	di-ntlha
tse	tse
hlano	hlano
tse	tse
ka	k-a
se-hlohlolong	se-hlohlolong
n-thuto	n-thuto
bo-phelo	bo-phelo
bo	bo
botle	botle
n-tshetsopele	ntshetsopele
ya	y-a
me-tse	me-tse
ya	y-a
ma-hae	ma-hae
le	le
ntjhafatso	n-thahafatso
ya	y-a
n-aha	n-aa
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
its-e-ng	i-ts-e-ng
tjha	tjha
le	le
n-twantsho	n-wwantsho
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
Ho	ho
tla-ts-el-ets-a	tla-ts-el-ets-a
re	re
tla	tla
sebets-a	sebets-a
ka	k-a
ma-tla	matla
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	tshebetso
tsw-il-e-ng	tswil-e-ng
ma-tsoho	ma-tsoho
ya	y-a
mo-mmuso	mo-uso
wa	waa
le-hae	le-hae
n-tshetsopele	ntshetsopele
ya	y-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
le	le
bo-dulo	bo-dulo
ba	ba-
ba-tho	ba-tho
Re	re
tla	tla
i-tlam-a	i-tlam-a
ka	k-a
ho	ho
ets-a	ets-a
di-ketso	di-ketso
tse	tse
mo-mmalwa	mo-mmalwa
tsa	tsa
bo-hlokwa	bohloo-w-a
hore	hore
re	re
fihl-el-l-e	fihl-el-l-e
di-phetho	di-phetho
tsena	tsen-a
Re	re
be-il-e	be-il-e
n-thuto	n-thuto
le	le
n-tshetsopele	ntshetsopele
ya	y-a
bo-kgoni	bo-kgoni
bo-hare-ng	bo-hareng
ba	ba
ma-ano	ma-ano
mo-mmuso	mo-uso
ona	ona
le-naneo-ng	le-naneong
la	la
rona	ron-a
la	la
re	re
batl-a	batl-a
ho	ho
ntla-fa-ts-a	ntl--fa-ts-a
bo-kgoni	bo-kgoni
ba	ba-
ba-na	ba-na
ba	ba-
rona	ron-a
ba	ba
ho	ho
bal-a	bal-a
ho	ho
ngol-a	ngol-a
le	le
ho	ho
ets-a	ets-a
di-palo	di-palo
di-lemo-ng	di-lemong
tsa	tsa
mo-theo	mo-theo
n-tle	ntle
le	le
hore	hore
re	re
ets-e	ets-e
sena	se-na
re	re
ke	ke
ke	ke
ra	ra
ntla-fa-ts-a	ntla-fa-ts-a
bo-leng	bolleng
ba	ba
n-thuto	n-thuto
ma-ikemisetso	ma-ikemisetso
rona	ron-a
ka	k-a
n-thuto	n-thuto
bo-nolo	bonoolo
empa	emp-a
hlokolotsi	hlokolotsi
Re	re
batl-a	batl-a
ba-rutwana	ba-rutwana
le	le
ma-titjhere	ma-titjhere
ba	ba
b-e	be
se-kolo-ng	se-kolong
ka	k-a
n-phaposi-ng	phapopong
ka	k-a
n-ako	n-ako
ba	ba
i-thut-a	i-thut-a
le	le
ho	ho
rut-w-a	rut-w-a
se-bake-ng	ba-keng
sa	sa
di-hora	di-hora
tse	tse
sup-il-e-ng	sup-il-e-ng
ka	k-a
le-tsatsi	le-tsatsi
Re	re
tla	tla
thus-a	thus-a
ma-titjhere	ma-titjhere
ka	k-a
ho	ho
ba	ba
neh-a	neh-a
bo-itokisetso	bo-itokisetso
ba	ba
le-tsatsi	le-tsatsi
le	le
le-tsatsi	le-tsatsi
bo	bo
teb-il-e-ng	teb-il-e-ng
se-bake-ng	ba-keng
sa	sa
ba-rutwana	ba-rutwana
re	re
tla	tla
nehel-an-a	nehel-an-a
ka	k-a
di-buka	di-buka
tse	tse
tla	tla
sebed-is-w-a-ng	sebed-is-w-a-ng
ha	ha
bo-nolo	bonoolo
ka	k-a
di-puo	di-puo
tsohle	tsohle
tse	tse
Ho	ho
tloh-a	tloh-a
se-lemo-ng	se-lemong
sena	se-na
ho	ho
y-a	y-a
pele	pele
ba-rutwana	ba-rutwana
bohle	bo-hle
ba	ba
kereiti	kereiti
ya	y-a
bo-raro	bo-raro
ya	y-a
bo-tshelela	botsh-el-el-a
le	le
ya	y-a
bo-robong	bo-robong
ba	ba
tla	tla
ngol-a	ngol-a
di-hlahlobo	di-hlahlobo
tsa	tsa
litherasi	litherasi
le	le
nyumerasi	nyumerasi
tse	tse
leko-ts-w-e-ng	leko-ts-w-e-ng
ka	k-a
bo-ikemelo	bo-ikemelo
se-pheo	se-pheo
sa	sa
rona	ron-a
ke	ke
ho	ho
nyoll-a	nyol---a
se-kgahla	se-kgahla
sa	sa
ho	ho
pas-a	pasa
se-bake-ng	ba-keng
sa	sa
di-tlhatlhobo	di-tlhatlhobo
tsena	tsen-a
ho	ho
tloh-a	tloh-a
n-palohare-ng	paloh-ah-e-ng
ya	y-a
hona	hon-a
jwale	jwale
le	le
tse	tse
ho	ho
y-a	y-a
ho	ho
tse	tse
ka	k-a
se-phetho	se-phetho
se	se
tla	tla
rom-el-l-w-a	rom-el-l-w-a
ba-tswadi	ba-tswadi
ho	ho
lekol-a	lekol-a
tswelopele	tswelopele
Ho	ho
tla-ts-el-ets-a	tla-ts-el-ets-a
se-kolo	se-kolo
ka	k-a
se-ng	se-ng
sa	sa
tse	tse
tsa	tsa
rona	ron-a
di	di-
tla	tla
hlahloj-w-a	hlahloj-w-a
ke	ke
ba-hlanka	ba-hlanka
ba	ba-
tsw-a-ng	tswan-ng
le-faphe-ng	le-fapheng
la	la
N-Thuto	n-thuto
ya	y-a
mo-theo	mo-theo
Sena	se-na
se	se
tla	tla
beh-w-a	beh-w-a
Tlaleho-ng	n-alehong
ngo-ts-w-e-ng	ngo-ts-w-e-ng
hlahlob-eh-a-ng	hlahlob-eh-a-ng
Re	re
rer-il-e	rer-il-e
ho	ho
nyoll-a	nyol-l-a
n-palo	n-palo
ya	y-a
ba-rutwana	ba-rutwana
ba	ba
materiki	ma-teriki
ba	ba
lok-el-a-ng	lok-el-a-ng
ho	ho
ken-a	ken-a
yunivesithi	yunivesiti
ho	ho
fihl-a	fihl-a
ho	ho
ka	k-a
se-lemo	se-lemo
ho	ho
y-a	y-a
ho	ho
se-lemo	se-lemo
sa	sa
Re	re
kgothal-e-ts-a	kgothal-e-ts-a
ba-tswadi	ba-tswadi
ho	ho
sebets-a	sebets-a
mmoho	mo-mho
le	le
rona	ron-a
ho	ho
atl-eh-is-a	atl-eh-is-a
mo-rero	mo-rero
ona	ona
Re	re
amohel-a	amohel-a
n-peho	n-peho
ya	y-a
kgwedi	kgwedi
fet-il-e-ng	fet-il-e-ng
e-nts-w-e-ng	ents-w-e-ng
ke	ke
me-kgatlo	me-kgatlo
meraro	me-raro
ya	y-a
ma-titjhere	ma-titjhere
NAPTOSA	napto-s-a
SADTU	sadtu
SAOU	saou
ka	k-a
ho	ho
that-is-el-l-ets-a	that-is-el-e-ts-a
bo-itlamo	bo-itlamo
ba	ba
bona	bo-na
se-bake-ng	ba-keng
sa	sa
le-tsholo	le-tsholo
la	la
bo-leng	boleeng
ba	ba-
ho	ho
I-thut-a	i-thut-a
le	le
ho	ho
Rut-a	rut-a
ho	ho
tloh-a	tloh-a
ya	y-a
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
lok-el-a	lok-el-a
ho	ho
tset-el-a	tsetel-a
ba-tjhe-ng	ba-tjheng
ba	ba-
rona	ron-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
re	re
le	le
le-botho	le-botho
le	le
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
le	le
ba-sebetsi	ba-sebetsi
ba	ba-
n-a-ng	nang
le	le
bo-kgoni	bo-kgoni
se-bake-ng	ba-keng
sa	sa
ho	ho
tshehets-a	tshehets-a
n-kgolo	n-kgolo
le	le
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
Ha	ha
ho	ho
l-e	le
jwalo	jwalo
re	re
ik-em-is-ed-its-e	i--em-is-ed-its-e
ho	ho
nyoll-a	nyol-l-a
N-Thupello	n-thupello
ya	y-a
ba	ba
di-lemo-ng	di-lemong
tse	tse
di-tsi-ng	di-tsing
n-thuto	n-thuto
le	le
N-Thupello	n-thupello
tsw-el-l-a-ng	tsw-el-l-a-ng
Sena	se-na
se	se
tla	tla
ets-a	ets-a
hore	hore
re	re
f-an-e	fane
ka	k-a
mo-nyetla	mo-yetla
wa	waa
bo-bedi	bo-bedi
n-thuto-ng	n-thutong
se-bake-ng	ba-keng
sa	sa
ba-rutwana	ba-rutwana
ba	ba
sa	sa
fihl-el-l-a-ng	fihl-el-l-a-ng
ho	ho
ken-a	ken-a
yunivesithi	yunivesithi
Re	re
sebets-a	sebets-a
le	le
di-theo	di-theo
tsa	tsa
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-rutwana	ba-rutwana
ba	ba
lok-el-a-ng	lok-el-a-ng
ba	ba-
fuman-a	fuman-a
thuso	n-thuso
ya	y-a
di-tjhelete	di-tjhelete
ka	k-a
Se-kema	se-kema
sa	sa
se-tjhaba	se-tjhaba
sa	sa
Thuso	n-thuso
ya	y-a
ba-ithuti	ba-ithuti
ka	k-a
di-tjhelete	di-tjhelete
Re	re
b-il-e	bile
re	re
i-peh-e-ts-e	i-peh-e-ts-e
di-pheo	di-pheo
se-bake-ng	ba-keng
sa	sa
n-tshetsopele	ntshetsopele
ya	y-a
di-thupello	di-thupello
ho	ho
hlah-is-a	hlah-is-a
di-enjenere	di-enjenere
le	le
bo-ratekgeniki	bo-ratekgeniki
ba	ba
tlatsetso	n-atsetso
le	le
ho	ho
ekets-a	ekets-a
le-nane	len-an-e
la	la
ma-titjhere	ma-titjhere
n-thuto	n-thuto
ya	y-a
di-palo	di-palo
le	le
Saense	saense
Hapehape	hap-eh-pe
re	re
lok-e-ts-e	lok-e-ts-e
ho	ho
phaham-is-a	phaham-is-a
le-nane	len-an-e
la	la
ba-tjha	batjha
ba	ba
ken-el-a-ng	ken-el-a-ng
di-thupelo	di-thupelo
tsa	tsa
mo-sebetsi	mo-sebetsi
ma-faphe-ng	ma-fapheng
poraefete	poraefete
le	le
mo-mmuso	mo-uso
se-phetho	se-phetho
se	se
seng	se-ng
sa	sa
bo-hlokwa	bohloo-w-a
ke	ke
ho	ho
nete-fa-ts-a	nete-fa-ts-a
bo-phelo	bo-phelo
bo	bo
bolelele	bolel-el-e
le	le
bo	bo
botle	botle
se-bake-ng	ba-keng
sa	sa
ma-Aforika	ma-aforika
bo-rwa	bo-rwa
kaofela	kakfel-a
Re	re
tla	tla
pheh-el-l-a	pheh-el-l-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
mo-kgwa	mo-kgwa
wa	waa
rona	ron-a
wa	waa
tsa	tsa
bo-phelo	bo-phelo
bo	bo
botle	botle
Sena	se-na
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
n-kaho	n-kaha
le	le
ntlafatso	n-ntlafatso
ya	y-a
di-petlele	di-petlele
le	le
di-tliliniki	di-tliliniki
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
ma-emo	ma-emo
n-tshebetso	tshebetso
ba-sebeletsi	ba-sebeletsi
ba	ba-
tsa	tsa
bo-phelo	bo-phelo
Re	re
i-mataha-n-ts-e	im-a-a-aants-e
le	le
Banka	ba-nka
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
Aforika	aforika
bo-rwa	bo-rwa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	tshebetso
ya	y-a
di-petlele	di-petlele
tsa	tsa
se-tjhaba	se-tjhaba
le	le
di-ofisi	di-ofisi
tsa	tsa
tsona	tson-a
tsa	tsa
di-tereke	di-tereke
Re	re
b-il-e	bile
re	re
sebets-a	sebets-a
mmoho	mo-mho
le	le
Banka	ba-nka
ya	y-a
n-tshetsopele	n-tshetopele
ya	y-a
Aforika	aforika
bo-rwa	bo-rwa
le	le
Koporasi	koporasi
ya	y-a
n-tshetsopele	ntshetsopele
ya	y-a
Di-indaseteri	di-indaseteri
le-naneo-ng	le-naneong
la	la
mo-mmuso	mo-uso
la	la
ho	ho
matahan-y-a	matahannya
N-tshebedisano	n-tshebedisano
ma-hare-ng	ma-hareng
me-kgatlo	me-kgatlo
ya	y-a
poraefete	poraefete
le	le
ya	y-a
mo-mmuso	mo-uso
se-bake-ng	ba-keng
sa	sa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
di-petlele	di-petlele
le	le
n-phano	n-phano
ya	y-a
di-tjhelete	di-tjhelete
se-bake-ng	ba-keng
sa	sa
di-porojeke	di-porojeke
di-tho	di-tho
tse	tse
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Re	re
lok-el-a	lok-el-a
ho	ho
tob-an-a	tob-an-a
le	le
nnete	nnete
ya	y-a
hore	hore
n-tebello	n-tebello
ya	y-a
n-ako	n-ako
ya	y-a
ho	ho
phel-a	phela
ha	ha
ma-sea	masea
hlah-a-ng	hlahang
theoh-il-e	theoh-il-e
ho	ho
tloh-a	tloh-a
di-lemo-ng	di-lemong
tse	tse
ka	k-a
ho	ho
y-a	y-a
ka	k-a
tlasenyana	tlasenyana
ho	ho
di-lemo	di-lemo
tse	tse
kajeno	n-kajeno
Ha	ha
ho	ho
l-e	le
jwalo	jwalo
re	re
ets-a	ets-a
bo-itshunyako	bo-itshunyaao
ba	ba-
ho	ho
theo-l-a	theol-a
se-kgahla	se-kgahla
sa	sa
ho	ho
shw-a	shwa
ha	ha
bo-mme	bo-mme
ba	ba
ma-sea	ma-sea
ho	ho
fokots-a	fokots-a
tshwaetso	tshwaetso
tse	tse
ntjha	ntjha
tsa	tsa
HIV	hiv
le	le
ho	ho
phekol-a	phekol-a
HIV	hiv
le	le
TB	tb
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Re	re
tla	tla
bo-el-a	bo-el-a
re	re
fokots-a	fokots-a
ho	ho
shw-a	shwa
ha	ha
ma-sea	ma-sea
ka	k-a
le-naneo	le-naneo
le	le
ma-tla	matla
la	la
n-kentelo	n-nentelo
Re	re
tla	tla
tso-s-el-ets-a	tso-s-el-ets-a
ma-naneo	mananeo
bo-phelo	bo-phelo
bo	bo
botle	botle
di-kolo-ng	di-kolong
Re	re
tla	tla
ke-ny-a	kenny-a
n-tshebetso-ng	tshebetsong
bo-itlamo	bo-itlamo
Bohle	bo-hle
bo	bo
e-nts-w-e-ng	ents-w-e-ng
ka	k-a
le-tsatsi	le-tsatsi
la	la
le-fatshe	lef-atshe
la	la
AIDS	aids
tse	tse
am-an-a-ng	am-an-a-ng
le	le
me-kgwa	me-kgwa
metjha	me-tja
ya	y-a
ho	ho
thib-el-a	thib-el-a
HIV	hiv
le	le
ho	ho
phekol-a	phekol-a
mo-sebetsi	mo-sebetsi
ma-tla	matla
s-e	se
l-e	le
mo-tjhe-ng	mo-thheng
se-bake-ng	ba-keng
sa	sa
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-sebetsi	mo-sebetsi
oo	oo
n-ako-ng	n-akoo
Re	re
tla	tla
bo-el-a	bo-el-a
re	re
tsw-el-a	tsw-el-a
pele	pele
ka	k-a
bo-itokisetso	bo-itokisetso
ba	ba
ho	ho
theh-a	theh-a
tsela	tsel-a
ya	y-a
se-tjhaba	se-tjhaba
ya	y-a
inshorense	inshorensse
ya	y-a
bo-phelo	bo-phelo
bo	bo
botle	botle
Ma-Aforika	ma-aforika
bo-rwa	bo-rwa
heso	heso
Re	re
sebets-a	sebets-a
ka	k-a
thata	n-thata
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-tho	mo-tho
mong	mo-ng
le	le
mong	mo-ng
ik-utlw-e	i--utl-w-e
bolok-eh-il-e	bolok-eh-il-e
le	le
hore	hore
bolok-eh-il-e	bolok-eh-il-e
ka	k-a
hara	hara
Aforika	aforika
bo-rwa	bo-rwa
Re	re
tla	tla
ntsh-ets-a-pele	n-tshetapele
mo-sebetsi	mo-sebetsi
wa	waa
rona	ron-a
wa	waa
ho	ho
fokots-a	fokots-a
di-tlolo	di-tlolo
tse	tse
mpe	mpe
le	le
tse	tse
n-a-ng	nang
le	le
me-rusu	me-rusu
tsa	tsa
mo-lao	mo-lao
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
n-toka	tok-a
sebets-a	sebets-a
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Re	re
nts-e	nts-e
re	re
ke-ny-a	kenny-a
n-tshebetso-ng	tshebetsong
me-ralo	me-ralo
ya	y-a
ho	ho
ekets-a	ekets-a
le-nane	le-nane
la	la
ma-polesa	ma-polesa
ba-nna	ba-nana
le	le
ba-sadi	ba-sadi
ka	k-a
di-lemo-ng	di-lemong
tse	tse
tharo	n-tharo
tse	tse
tl-a-ng	tlang
Re	re
hlwa-il-e	hlwa-il-e
n-twa	nt-w-a
n-kgahlano-ng	n-kgahlanong
le	le
ho	ho
nk-el-w-a	nk-el-w-a
di-koloi	di-koloi
ha	ha
ba-tho	ba-tho
ka	k-a
ma-hahapa	ma-hahapa
tlatlapo	tlatlapo
ya	y-a
tsa	tsa
n-kgwebo	n-kgwebo
le	le
ma-tlo-ng	ma-tlong
mmoho	mo-mho
le	le
di-tlolo	di-tlolo
tsa	tsa
mo-lao	mo-lao
tse	tse
Jwaloka	jwalok-a
n-polao	n-polao
n-peto	n-peto
le	le
ho	ho
otl-w-a	otl-w-a
l-e	le
tsona	tson-a
tse	tse
k-a	k-a
se-hlohong	se-hlohong
Bohle	bo-hle
re	re
le	le
n-karolo	n-karolo
eo	eo
re	re
lok-el-a-ng	lok-el-a-ng
ho	ho
bapal-a	bap-laa
Ha	ha
re	re
b-e-ng	beng
n-karolo	n-karolo
ya	y-a
di-foramo	di-foramo
tsa	tsa
ba-ahi	ba-ahi
tsa	tsa
n-polokeho	n-polokeho
Ha	ha
re	re
tloh-el-e-ng	tloh-el-e-ng
ho	ho
rek-a	rek-a
thepa	thep-a
utsw-its-w-e-ng	uts-w-ts-w-e-ng
Ka	k-a
di-nako	di-nako
tsohle	tsohle
ha	ha
re	re
b-e-ng	beng
ma-lala	ma-lala
la-o-ts-w-e	lao-ts-w-e
ho	ho
f-an-a	f-an-a
ka	k-a
n-tlhahiso	n-tlhahiso
le-sedi-ng	le-seding
ya	y-a
di-ketso	di-ketso
tsa	tsa
bo-tlokotsebe	bo-tlokotsebe
se-polese-ng	se-poleseng
N-Tshebedisano	n-tshebedisano
mmoho	mo-mho
etl-a	etl-a
lw-an-tsh-a	lw-antsh-a
bo-tlokotsebe	bo-tlokotsebe
Ba-heso	ba-heso
le	le
ba-eti	ba-eti
ba	ba
hlomph-eh-a-ng	hlomph-eh-a-ng
mo-mmuso	mo-uso
wa	wa
le-hae	le-hae
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
bo-masepala	bom-sepalala
ba	ba-
lok-el-a	lok-el-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-phano	n-phano
ya	y-a
ma-tlo	ma-tlo
me-tsi	me-tsi
n-tlhweko	n-tlhweko
mo-tlakase	mo-tlakase
n-taolo	n-taolo
ya	y-a
ma-tlakala	ma-tlakala
le	le
di-tsela	di-tsela
Re	re
il-e	il-e
ra	ra
tshwar-a	tshwar-a
n-kopano	n-popano
le	le
bo-majoro	bo-majoro
le	le
ba-laodi	ba-laodi
ba	ba-
bo-masepala	bomasepala
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Sena	se-na
se	se
f-an-e	fane
ka	k-a
le-sedi	le-sedi
la	la
bo-hlokwa	bohloo-w-a
se-bake-ng	ba-keng
sa	sa
di-phephetso	di-phephetso
tse	tse
teng	teng
ka	k-a
hara	hara
mo-mmuso	mo-uso
wa	wa
le-hae	le-hae
Re	re
il-e	il-e
ra	ra
bo-el-a	bo-el-a
ra	ra
et-el-a	et-el-a
ba-ahi	ba-ahi
le	le
bo-masepala	bom-sepala
ba	ba
fapan-e-ng	fapaneng
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
Balfour	ba-lfour
Mpumalanga	mpumalangaa
le	le
Thembisa	themb-is-a
Gaute-ng	gauteng
le-eto	le-eto
la	la
Balfour	ba-loour
re	re
il-e	il-e
ra	ra
rom-el-a	rom-el-a
mo-ifo	mo-ifo
wa	waa
ma-tona	ma-tona
robong	robong
ho	ho
et-el-a	et-el-a
N-Tulo	n-tulo
eo	eo
ho	ho
sheb-an-a	sheb-an-a
le	le
di-ntlha	di-ntlha
tse	tse
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ke	ke
ba-ahi	ba-ahi
di-ntlha	di-ntlha
tse	tse
ngata	ngata
ho	ho
s-e	se
ho	ho
mekamekan-w-e	me-kamekanwe
le	le
tsona	tson-a
Ke	ke
la-e-ts-e	la-ets-e
ma-tona	ma-tona
ho	ho
mekamekan-a	me-kamekana
le	le
di-taba	di-taba
tse	tse
nts-e-ng	nts-e-ng
di	di
sal-ets-e	sal-e-ts-e
mo-rao	mo-rao
Re	re
sa	sa
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
hore	hore
ha	ha
hona	hon-a
di-ngongoreho	di-ngongoreho
tse	tse
ka	k-a
ets-a-ng	ets-a-ng
hore	hore
ba-tho	ba-tho
ba	ba
ets-e	ets-e
me-rusu	me-rusu
le	le
ho	ho
seny-a	se-nya
thepa	thep-a
Re	re
la-e-ts-e	la-ets-e
ma-kala	ma-kala
tsa	tsa
mo-lao	mo-lao
hore	hore
lw-an-tsh-e	lw-antsh-e
ho	ho
hlok-a	hlok-a
n-taolo	n-taolo
ka	k-a
ma-tla	matla
Balfour	ba-lofur
le	le
di-tulo-ng	di-tulong
tse	tse
ding	di-ng
Ka	k-a
Tshitwe	tshit-w-e
Kabinete	kabinete
dumel-l-an-e	dumel-l-an-e
ka	k-a
le-wa	le-w-a
la	la
n-tshebetso	tshebetso
se-bake-ng	ba-keng
sa	sa
mo-mmuso	mo-uso
wa	waa
le-hae	le-hae
Sena	se-na
se	se
tla	tla
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-mmuso	mo-uso
wa	waa
le-hae	le-hae
le	le
bo-laodi	bo-laodi
bo	bo
hlwahlwa	hlw-ah-w-a
bo-kgoni	bo-kgoni
ba	ba
tsamaiso	tsamaiso
le	le
ba	ba-
bo-tekginiki	bo-tekginiki
se-lemo-ng	se-lemong
sena	se-na
sa	sa
n-tshebetso	tshebetso
ha	ha
re	re
sebets-e-ng	sebets-e-ng
mmoho	mo-mho
ho	ho
ets-a	ets-a
hore	hore
mo-mmuso	mo-uso
wa	waa
le-hae	le-hee
b-e	be
bo-ikarabelo	bo-ikarabelo
ba	ba
rona	ron-a
kaofela	kak-el-a
Re	re
sebe-lets-a	sebel-etsa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
bo-dulo	bo-dulo
le	le
ho	ho
f-an-a	f-an-a
ka	k-a
di-tshebeletso	di-tshebeletso
ba-tho-ng	ba-thong
ba	ba-
me-khukhu	me-khukhu
du-ts-e-ng	du-ts-e-ng
N-Tulo-ng	n-tulong
tse	tse
hantle	hantle
tse	tse
hlwahlwa	hlwah--w-a
le	le
ho	ho
f-an-a	f-an-a
le	le
di-tokelo	di-tokelo
tsa	tsa
n-aha	naha
