la-oll-a	Laoll-a
ba-tjha	Batjha
Re	Re
la-e-ts-e	la-ets-e
le-kala	lek-al-a
lena	le-na
ho	ho
sebets-a	sebets-a
ka	k-a
potlako	n-potlako
se-bake-ng	ba-keng
sa	s-a
ho	ho
theh-a	theh-a
ma-kala	ma-kala
lona	lon-a
n-ahe-ng	naheng
ka	k-a
bo-phara	bo-phara
hore	hore
le	le
re	re
thus-e	thus-e
ho	ho
sebets-an-a	sebets-an-a
le	le
ho	ho
pheth-aha-ts-a	pheth-aha-ts-a
ma-naneo	ma-naneo
n-tshetsopele	ntshetsopele
ya	y-a
ba-tjha	batjha
ka	k-a
hara	har-a
mo-mmuso	mm-uso
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Ha	hao
mo-mmuso	mm-uso
ona	on-a
n-e	ne
ken-a	ken-a
kantoro-ng	n-katonong
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
re	re
i-tlam-m-e	tim-mal-e
ho	ho
men-aha-ny-a	me-nahana
bo-ikitlaetso	bo-ikitletsoa
ba	b-a
rona	ron-a
ba	b-a
ho	ho
ah-a	ah-a
mo-mmuso	mm-uso
ma-tla	ma-tla
tsw-el-a-ng	tsw-el-a-ng
pele	pele
Re	Re
its-e	tis-e
tla	tl-a
b-a	b-a
mo-mmuso	mm-uso
arab-el-a-ng	arab-el-a-ng
di-tlhoko	di-tlhoko
le	le
di-takatso	di-takatso
tsa	ts-a
ba-tho	ba-tho
le	le
sebets-a-ng	sebets-a-ng
betere	be-tere
le	le
ka	k-a
potlako	n-potlako
se-lemo	se-lemo
sena	se-an
l-e-ng	le-ng
tla	tl-a
b-a	b-a
se-lemo	se-lemo
sa	s-a
ho	ho
sebets-a	sebets-a
Seo	se-o
tla	tl-a
b-a	b-a
se-supo	se-supo
se	se
hlalos-a-ng	hlalos-a-ng
tsamaiso	tsamaiso
ena	en-a
tla	tl-a
b-a	b-a
hore	hore
tseb-a	tseb-a
moo	mo-o
ba-tho	ba-tho
ba	b-a
dul-a-ng	dul-a-ng
utlw-is-is-a	utlw-is-is-a
di-tlhoko	di-tlhoko
mme	mm-em
arab-el-a	arab-el-a
ka	k-a
potlako	n-potlako
mo-Mmuso	mo-sumo
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
ka	k-a
potlako	n-potlako
haholo	haholo
le	le
ka	k-a
ma-kgethe	ma-kgethe
Re	Re
tla	tl-a
lebel-l-a	lebel-l-a
hore	hore
Bo-okamedi	bo-okamedi
le	le
N-Tshebeletso	N-Tshebeletso
ya	y-a
se-tjhaba	se-tjhaba
di	di
i-pap-is-e	i-papis-e
le	le
n-pono	n-poo
ena	en-a
Re	Re
ah-a	ah-a
mo-mmuso	mm-uso
tsepam-is-its-e-ng	tsepam-is-its-e-ng
ma-ikutlo	ma-ikutlo
n-tshebetso-ng	tshebetsong
ka	k-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
me-ralo	me-ralo
le	le
ho	ho
beh-a	beh-a
n-tshebetso	tshebetso
le-ihlo	le-hilo
le	le
ho	ho
hlahlob-a	hlahlob-a
Re	Re
bo-e-ts-e	bo-etse
re	re
lok-el-a	lok-el-a
ho	ho
hok-ah-any-a	hok-ahany-a
me-kgwa	me-kgwa
ya	y-a
n-tekatekano	tekatekano
ya	y-a
bo-ng	bong
ho	ho
le-naneo	le-naneo
la	l-a
mo-Mmuso	mo-sumo
la	l-a
N-Tshebetso	N-Tshebetso
mo-hato	mo-hato
ona	on-a
wa	wa
n-tshebetso	tshebetso
tla	tl-a
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-sadi	ba-sadi
ba-na	ba-n-a
le	le
ba-tho	ba-tho
ba	b-a
n-a-ng	n-a-ng
le	le
bo-qhwala	bo-halwa
ba	b-a
kgon-a	kgon-a
ho	ho
fihl-el-l-a	fihl-el-l-a
me-nyetla	me-nyela
ya	y-a
n-tshetsopele	ntshetsopele
Re	Re
thab-el-a	thab-el-a
ho	ho
phatlala-ts-a	phatlala-ts-a
tsela	tsel-a
ntjha	ntjh-a
ya	y-a
ets-a	ets-a
di-ntho	di-ntho
mo-mmuso-ng	mm-usong
mo-sebetsi	mo-sebetsi
wa	wa
ma-fapha	ma-fapha
tla	tl-a
meth-w-a	me-thwa
ka	k-a
di-phetho	di-phetho
tla	tl-a
ntsh-ets-w-a	ntsh-ets-w-a
pele	pele
ke	ke
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
ho	ho
beh-a	beh-a
le-ihlo	le-hilo
n-tlhatlhobo	n-tlhatlhobo
ma-tona	ma-tona
ik-arab-el-l-a-ng	ik-arab-el-l-a-ng
se-bake-ng	ba-keng
sa	s-a
se-phetho	se-phetho
se	se
its-e-ng	i-ts-e-ng
tla	tl-a
teken-a	tekena
n-tumellano	n-tumellano
ya	y-a
ho	ho
f-an-a	fan-a
ka	k-a
di-tshebeletso	di-tshebeletso
teb-il-e-ng	teb-il-e-ng
le	le
mo-presidente	po-resisenetr
tla	tl-a
hlalos-a	hlalos-a
se	se
lok-el-a-ng	lok-el-a-ng
ho	ho
ets-w-a	ets-w-a
hore	hore
se	se
ets-w-e	ets-w-e
jwang	jw-a-ng
ke	ke
ma-ng	ma-ng
se-bake-ng	ba-keng
sa	s-a
n-ako	n-kao
its-e-ng	i-ts-e-ng
mme	mm-em
ho	ho
sebed-is-w-a	sebed-is-w-a
mo-kgwa	mo-kgwa
ofe	ofe
wa	wa
ho	ho
meth-a	me-tha
le	le
me-hlodi	mehlodi
Jwaloka	N-Kwaloka
ha	ha
le	le
hlokomel-a	hlokomel-a
re	re
i-tlam-m-e	tim-mal-e
ka	k-a
di-ntlha	di-ntlha
tse	ts-e
hlano	hlano
tse	ts-e
ka	k-a
se-hlohlolong	se-hlohlolong
n-thuto	n-thuto
bo-phelo	bo-phelo
bo	bo
botle	botle
n-tshetsopele	ntshetsopele
ya	y-a
me-tse	me-tse
ya	y-a
ma-hae	ma-hae
le	le
ntjhafatso	ntjha-fatso
ya	y-a
n-aha	nah-a
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
its-e-ng	i-ts-e-ng
tjha	tjh-a
le	le
n-twantsho	tshwanto
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
Ho	oho
tla-ts-el-ets-a	tla-el-ts-ets-a
re	re
tla	tl-a
sebets-a	sebets-a
ka	k-a
ma-tla	ma-tla
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	tshebetso
tsw-il-e-ng	tsw-il-e-ng
ma-tsoho	ma-tsoho
ya	y-a
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
n-tshetsopele	ntshetsopele
ya	y-a
me-theo	me-theo
ya	y-a
se-tjhaba	se-tjhaba
le	le
bo-dulo	bo-dulo
ba	b-a
ba-tho	ba-tho
Re	Re
tla	tl-a
i-tlam-a	i-tlam-a
ka	k-a
ho	ho
ets-a	ets-a
di-ketso	di-ketso
tse	ts-e
mo-mmalwa	mo-mwala
tsa	ts-a
bo-hlokwa	bo-hlokwa
hore	hore
re	re
fihl-el-l-e	fihl-el-l-e
di-phetho	di-phetho
tsena	tsen-a
Re	Re
be-il-e	beil-e
n-thuto	n-thuto
le	le
n-tshetsopele	ntshetsopele
ya	y-a
bo-kgoni	bo-kgoni
bo-hare-ng	bo-raheng
ba	b-a
ma-ano	ma-ano
mo-mmuso	mm-uso
ona	on-a
le-naneo-ng	le-naneono
la	l-a
rona	ron-a
la	l-a
re	re
batl-a	batl-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
bo-kgoni	bo-kgoni
ba	b-a
ba-na	ba-n-a
ba	b-a
rona	ron-a
ba	b-a
ho	ho
bal-a	bal-a
ho	ho
ngol-a	ngol-a
le	le
ho	ho
ets-a	ets-a
di-palo	di-palo
di-lemo-ng	di-lemong
tsa	ts-a
mo-theo	mo-theo
n-tle	Tl-e
le	le
hore	hore
re	re
ets-e	ets-e
sena	se-an
re	re
ke	ke
ke	ke
ra	ra
ntla-fa-ts-a	ntla-fa-ts-a
bo-leng	bol-e-ng
ba	b-a
n-thuto	n-thuto
ma-ikemisetso	ma-ikeseitiso
rona	ron-a
ka	k-a
n-thuto	n-thuto
bo-nolo	bo-nolo
empa	me-pa
hlokolotsi	hlokolotsi
Re	Re
batl-a	batl-a
ba-rutwana	ba-rutwana
le	le
ma-titjhere	ma-titjhere
ba	b-a
b-e	be
se-kolo-ng	se-kolong
ka	k-a
n-phaposi-ng	phaposing
ka	k-a
n-ako	n-kao
ba	b-a
i-thut-a	i-thut-a
le	le
ho	ho
rut-w-a	rut-w-a
se-bake-ng	ba-keng
sa	s-a
di-hora	di-hora
tse	ts-e
sup-il-e-ng	sup-il-e-ng
ka	k-a
le-tsatsi	le-tsatsi
Re	Re
tla	tl-a
thus-a	thus-a
ma-titjhere	ma-titjhere
ka	k-a
ho	ho
ba	b-a
neh-a	neh-a
bo-itokisetso	bo-itokeisito
ba	b-a
le-tsatsi	le-tsatsi
le	le
le-tsatsi	le-tsatsi
bo	bo
teb-il-e-ng	teb-il-e-ng
se-bake-ng	ba-keng
sa	s-a
ba-rutwana	ba-rutwana
re	re
tla	tl-a
nehel-an-a	nehel-an-a
ka	k-a
di-buka	di-buka
tse	ts-e
tla	tl-a
sebed-is-w-a-ng	sebed-is-w-a-ng
ha	ha
bo-nolo	bo-nolo
ka	k-a
di-puo	di-puo
tsohle	tshol-e
tse	ts-e
Ho	oho
tloh-a	tloh-a
se-lemo-ng	se-lemong
sena	se-an
ho	ho
y-a	y-a
pele	pele
ba-rutwana	ba-rutwana
bohle	bohle
ba	b-a
kereiti	kereiti
ya	y-a
bo-raro	bo-raro
ya	y-a
bo-tshelela	bo-tshelela
le	le
ya	y-a
bo-robong	bo-robong
ba	b-a
tla	tl-a
ngol-a	ngol-a
di-hlahlobo	di-hlahlobo
tsa	ts-a
litherasi	li-thareis
le	le
nyumerasi	nyumer-is-a
tse	ts-e
leko-ts-w-e-ng	leko-ts-w-e-ng
ka	k-a
bo-ikemelo	bo-ikemelo
se-pheo	se-pheo
sa	s-a
rona	ron-a
ke	ke
ho	ho
nyoll-a	nyol-l-a
se-kgahla	se-kgahla
sa	s-a
ho	ho
pas-a	pas-a
se-bake-ng	ba-keng
sa	s-a
di-tlhatlhobo	di-tlhatlhobo
tsena	tsen-a
ho	ho
tloh-a	tloh-a
n-palohare-ng	n-palahone
ya	y-a
hona	hon-a
jwale	wal-e
le	le
tse	ts-e
ho	ho
y-a	y-a
ho	ho
tse	ts-e
ka	k-a
se-phetho	se-phetho
se	se
tla	tl-a
rom-el-l-w-a	rom-el-l-w-a
ba-tswadi	ba-tswadi
ho	ho
lekol-a	le-kol-a
tswelopele	tswel-epole
Ho	oho
tla-ts-el-ets-a	tla-el-ts-ets-a
se-kolo	se-kolo
ka	k-a
se-ng	se-ng
sa	s-a
tse	ts-e
tsa	ts-a
rona	ron-a
di	di
tla	tl-a
hlahloj-w-a	hlahlos-w-a
ke	ke
ba-hlanka	ba-hlakan
ba	b-a
tsw-a-ng	tsw-a-ng
le-faphe-ng	le-fapheng
la	l-a
N-Thuto	N-thuto
ya	y-a
mo-theo	mo-theo
Sena	se-an
se	se
tla	tl-a
beh-w-a	beh-w-a
Tlaleho-ng	tlalehong
ngo-ts-w-e-ng	ngo-ts-w-e-ng
hlahlob-eh-a-ng	hlahlob-eh-a-ng
Re	Re
rer-il-e	rer-il-e
ho	ho
nyoll-a	nyol-l-a
n-palo	n-palo
ya	y-a
ba-rutwana	ba-rutwana
ba	b-a
materiki	ma-teriki
ba	b-a
lok-el-a-ng	lok-el-a-ng
ho	ho
ken-a	ken-a
yunivesithi	Cunyisitehi
ho	ho
fihl-a	fihl-a
ho	ho
ka	k-a
se-lemo	se-lemo
ho	ho
y-a	y-a
ho	ho
se-lemo	se-lemo
sa	s-a
Re	Re
kgothal-e-ts-a	kgotha-l-ets-a
ba-tswadi	ba-tswadi
ho	ho
sebets-a	sebets-a
mmoho	mo-mho
le	le
rona	ron-a
ho	ho
atl-eh-is-a	atl-eh-is-a
mo-rero	mo-rero
ona	on-a
Re	Re
amohel-a	amohel-a
n-peho	n-peho
ya	y-a
kgwedi	kgwedi
fet-il-e-ng	fet-il-e-ng
e-nts-w-e-ng	en-ts-w-e-ng
ke	ke
me-kgatlo	me-kgatlo
meraro	me-raro
ya	y-a
ma-titjhere	ma-titjhere
NAPTOSA	N-TATEOO
SADTU	SASA
SAOU	SASA
ka	k-a
ho	ho
that-is-el-l-ets-a	that-el-is-ets-a
bo-itlamo	bo-itlamo
ba	b-a
bona	bon-a
se-bake-ng	ba-keng
sa	s-a
le-tsholo	se-tlholo
la	l-a
bo-leng	bo-leng
ba	b-a
ho	ho
I-thut-a	I-thuta
le	le
ho	ho
Rut-a	Ruta
ho	ho
tloh-a	tloh-a
ya	y-a
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
lok-el-a	lok-el-a
ho	ho
tset-el-a	tsetel-a
ba-tjhe-ng	batjh-e-ng
ba	b-a
rona	ron-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
re	re
le	le
le-botho	le-botho
le	le
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
le	le
ba-sebetsi	ba-sebetsi
ba	b-a
n-a-ng	n-a-ng
le	le
bo-kgoni	bo-kgoni
se-bake-ng	ba-keng
sa	s-a
ho	ho
tshehets-a	tshehets-a
n-kgolo	n-kgolo
le	le
n-tlhahiso	n-tlhahiso
ya	y-a
me-sebetsi	me-sebetsi
Ha	hao
ho	ho
l-e	le
jwalo	n-walo
re	re
ik-em-is-ed-its-e	ik-ime-d-is-ets-e
ho	ho
nyoll-a	nyol-l-a
N-Thupello	n-thupello
ya	y-a
ba	b-a
di-lemo-ng	di-lemong
tse	ts-e
di-tsi-ng	di-tsing
n-thuto	n-thuto
le	le
N-Thupello	n-thupello
tsw-el-l-a-ng	tsw-el-l-a-ng
Sena	se-an
se	se
tla	tl-a
ets-a	ets-a
hore	hore
re	re
f-an-e	f-an-e
ka	k-a
mo-nyetla	mo-nyela
wa	wa
bo-bedi	bo-bedi
n-thuto-ng	thutong
se-bake-ng	ba-keng
sa	s-a
ba-rutwana	ba-rutwana
ba	b-a
sa	s-a
fihl-el-l-a-ng	fihl-el-l-a-ng
ho	ho
ken-a	ken-a
yunivesithi	Cunyisitehi
Re	Re
sebets-a	sebets-a
le	le
di-theo	di-theo
tsa	ts-a
n-thuto	n-thuto
phaham-e-ng	phaham-e-ng
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
ba-rutwana	ba-rutwana
ba	b-a
lok-el-a-ng	lok-el-a-ng
ba	b-a
fuman-a	fuman-a
thuso	n-thuso
ya	y-a
di-tjhelete	di-tjheele
ka	k-a
Se-kema	se-kema
sa	s-a
se-tjhaba	se-tjhaba
sa	s-a
Thuso	N-Thuso
ya	y-a
ba-ithuti	ba-ithuti
ka	k-a
di-tjhelete	di-tjhelete
Re	Re
b-il-e	bil-e
re	re
i-peh-e-ts-e	i-peh-ets-e
di-pheo	di-pheo
se-bake-ng	ba-keng
sa	s-a
n-tshetsopele	ntshetsopele
ya	y-a
di-thupello	di-thupello
ho	ho
hlah-is-a	hlah-is-a
di-enjenere	di-nejerene
le	le
bo-ratekgeniki	bo-ratekering
ba	b-a
tlatsetso	tlats-etso
le	le
ho	ho
ekets-a	ekets-a
le-nane	le-nane
la	l-a
ma-titjhere	ma-titjhere
n-thuto	n-thuto
ya	y-a
di-palo	di-palo
le	le
Saense	sa-ense
Hapehape	Raphebae
re	re
lok-e-ts-e	lok-e-ts-e
ho	ho
phaham-is-a	phaham-is-a
le-nane	le-nane
la	l-a
ba-tjha	batjha
ba	b-a
ken-el-a-ng	ken-el-a-ng
di-thupelo	di-thupelo
tsa	ts-a
mo-sebetsi	mo-sebetsi
ma-faphe-ng	ma-fapheng
poraefete	poraefene
le	le
mo-mmuso	mm-uso
se-phetho	se-phetho
se	se
seng	se-ng
sa	s-a
bo-hlokwa	bo-hlokwa
ke	ke
ho	ho
nete-fa-ts-a	nete-fa-ts-a
bo-phelo	bo-phelo
bo	bo
bolelele	bolelel-e
le	le
bo	bo
botle	botle
se-bake-ng	ba-keng
sa	s-a
ma-Aforika	ma-Afroki
bo-rwa	bo-rwa
kaofela	n-kaofel-a
Re	Re
tla	tl-a
pheh-el-l-a	phehel-l-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
mo-kgwa	mo-kgwa
wa	wa
rona	ron-a
wa	wa
tsa	ts-a
bo-phelo	bo-phelo
bo	bo
botle	botle
Sena	se-an
se	se
ke-ny-el-ets-a	ke-ny-el-ets-a
n-kaho	n-kaho
le	le
ntlafatso	n-tlafatso
ya	y-a
di-petlele	di-petlele
le	le
di-tliliniki	di-tliliikin
le	le
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
ma-emo	ma-emo
n-tshebetso	tshebetso
ba-sebeletsi	ba-sebeletsi
ba	b-a
tsa	ts-a
bo-phelo	bo-phelo
Re	Re
i-mataha-n-ts-e	ma-itaha-ts-a-ng
le	le
Banka	Bak-a
ya	y-a
n-tshetsopele	tshetsopele
ya	y-a
Aforika	Aforika
bo-rwa	bo-rwa
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-tshebetso	tshebetso
ya	y-a
di-petlele	di-petlele
tsa	ts-a
se-tjhaba	se-tjhaba
le	le
di-ofisi	di-ofisi
tsa	ts-a
tsona	tson-a
tsa	ts-a
di-tereke	di-tereke
Re	Re
b-il-e	bil-e
re	re
sebets-a	sebets-a
mmoho	mo-mho
le	le
Banka	Bak-a
ya	y-a
n-tshetsopele	tshetsopele
ya	y-a
Aforika	Aforika
bo-rwa	bo-rwa
le	le
Koporasi	Koporasi
ya	y-a
n-tshetsopele	tshetsopele
ya	y-a
Di-indaseteri	di-inasedite
le-naneo-ng	le-naneong
la	l-a
mo-mmuso	mm-uso
la	l-a
ho	ho
matahan-y-a	ma-tahanya
N-tshebedisano	n-Tshebedisano
ma-hare-ng	ma-hareng
me-kgatlo	me-kgatlo
ya	y-a
poraefete	poraefene
le	le
ya	y-a
mo-mmuso	mm-uso
se-bake-ng	ba-keng
sa	s-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
di-petlele	di-petlele
le	le
n-phano	n-phano
ya	y-a
di-tjhelete	di-tjheele
se-bake-ng	ba-keng
sa	s-a
di-porojeke	di-porojeke
di-tho	di-tho
tse	ts-e
hlomph-eh-il-e-ng	hlophem-il-e-ng
Re	Re
lok-el-a	lok-el-a
ho	ho
tob-an-a	tob-an-a
le	le
nnete	nnete
ya	y-a
hore	hore
n-tebello	n-tebello
ya	y-a
n-ako	n-kao
ya	y-a
ho	ho
phel-a	phel-a
ha	ha
ma-sea	ma-sea
hlah-a-ng	hlah-a-ng
theoh-il-e	theoh-il-e
ho	ho
tloh-a	tloh-a
di-lemo-ng	di-lemong
tse	ts-e
ka	k-a
ho	ho
y-a	y-a
ka	k-a
tlasenyana	tlase-nyana
ho	ho
di-lemo	di-lemo
tse	ts-e
kajeno	n-kaeno
Ha	hao
ho	ho
l-e	le
jwalo	n-walo
re	re
ets-a	ets-a
bo-itshunyako	bo-itshunyamo
ba	b-a
ho	ho
theo-l-a	theol-a
se-kgahla	se-kgahla
sa	s-a
ho	ho
shw-a	shw-a
ha	ha
bo-mme	mo-bme
ba	b-a
ma-sea	ma-sea
ho	ho
fokots-a	fokots-a
tshwaetso	tshwaseto
tse	ts-e
ntjha	ntjh-a
tsa	ts-a
HIV	IMM
le	le
ho	ho
phekol-a	n-phekola
HIV	IMM
le	le
TB	TT
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Re	Re
tla	tl-a
bo-el-a	bo-el-a
re	re
fokots-a	fokots-a
ho	ho
shw-a	shw-a
ha	ha
ma-sea	ma-sea
ka	k-a
le-naneo	le-naneo
le	le
ma-tla	ma-tla
la	l-a
n-kentelo	n-ketelo
Re	Re
tla	tl-a
tso-s-el-ets-a	tso-es-el-a-ts
ma-naneo	ma-naneo
bo-phelo	bo-phelo
bo	bo
botle	botle
di-kolo-ng	di-kolong
Re	Re
tla	tl-a
ke-ny-a	ke-ny-a
n-tshebetso-ng	tshebetsong
bo-itlamo	bo-itlamo
Bohle	bohle
bo	bo
e-nts-w-e-ng	en-ts-w-e-ng
ka	k-a
le-tsatsi	le-tsatsi
la	l-a
le-fatshe	le-fatshe
la	l-a
AIDS	IDAS
tse	ts-e
am-an-a-ng	am-an-a-ng
le	le
me-kgwa	me-kgwa
metjha	me-tjha
ya	y-a
ho	ho
thib-el-a	thib-el-a
HIV	IMM
le	le
ho	ho
phekol-a	n-phekola
mo-sebetsi	mo-sebetsi
ma-tla	ma-tla
s-e	se
l-e	le
mo-tjhe-ng	mo-tjheng
se-bake-ng	ba-keng
sa	s-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-sebetsi	mo-sebetsi
oo	oo
n-ako-ng	n-kanong
Re	Re
tla	tl-a
bo-el-a	bo-el-a
re	re
tsw-el-a	tswel-a
pele	pele
ka	k-a
bo-itokisetso	bo-itokeisito
ba	b-a
ho	ho
theh-a	theh-a
tsela	tsel-a
ya	y-a
se-tjhaba	se-tjhaba
ya	y-a
inshorense	n-ishoneren
ya	y-a
bo-phelo	bo-phelo
bo	bo
botle	botle
Ma-Aforika	ma-Afroka
bo-rwa	bo-rwa
heso	heso
Re	Re
sebets-a	sebets-a
ka	k-a
thata	that-a
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
mo-tho	mo-tho
mong	mo-ng
le	le
mong	mo-ng
ik-utlw-e	ik-utl-w-e
bolok-eh-il-e	bo-lokeheli
le	le
hore	hore
bolok-eh-il-e	bo-lokeheli
ka	k-a
hara	har-a
Aforika	Aforika
bo-rwa	bo-rwa
Re	Re
tla	tl-a
ntsh-ets-a-pele	ntsh-ets-ep-al-e
mo-sebetsi	mo-sebetsi
wa	wa
rona	ron-a
wa	wa
ho	ho
fokots-a	fokots-a
di-tlolo	di-tlolo
tse	ts-e
mpe	mep
le	le
tse	ts-e
n-a-ng	n-a-ng
le	le
me-rusu	me-rusu
tsa	ts-a
mo-lao	mo-lao
le	le
ho	ho
nete-fa-ts-a	nete-fa-ts-a
hore	hore
tsela	tsel-a
ya	y-a
rona	ron-a
ya	y-a
n-toka	tok-a
sebets-a	sebets-a
ka	k-a
ho	ho
pheth-ahal-a	pheth-ahal-a
Re	Re
nts-e	nts-e
re	re
ke-ny-a	ke-ny-a
n-tshebetso-ng	tshebetsong
me-ralo	me-ralo
ya	y-a
ho	ho
ekets-a	ekets-a
le-nane	le-nane
la	l-a
ma-polesa	ma-polesa
ba-nna	ban-a-ng
le	le
ba-sadi	ba-sadi
ka	k-a
di-lemo-ng	di-lemong
tse	ts-e
tharo	tharo
tse	ts-e
tl-a-ng	tl-a-ng
Re	Re
hlwa-il-e	hlwa-il-e
n-twa	nt-w-a
n-kgahlano-ng	n-kgahlanong
le	le
ho	ho
nk-el-w-a	nk-el-w-a
di-koloi	di-koloi
ha	ha
ba-tho	ba-tho
ka	k-a
ma-hahapa	ma-hahapa
tlatlapo	tlatlapo
ya	y-a
tsa	ts-a
n-kgwebo	n-kgwebo
le	le
ma-tlo-ng	ma-tlong
mmoho	mo-mho
le	le
di-tlolo	di-tlolo
tsa	ts-a
mo-lao	mo-lao
tse	ts-e
Jwaloka	n-kalwao
n-polao	n-polao
n-peto	n-peto
le	le
ho	ho
otl-w-a	tol-w-a
l-e	le
tsona	tson-a
tse	ts-e
k-a	k-a
se-hlohong	se-hlohong
Bohle	bohle
re	re
le	le
n-karolo	n-karolo
eo	eo
re	re
lok-el-a-ng	lok-el-a-ng
ho	ho
bapal-a	bap-al-a
Ha	hao
re	re
b-e-ng	beng
n-karolo	n-karolo
ya	y-a
di-foramo	di-foramo
tsa	ts-a
ba-ahi	ba-ahi
tsa	ts-a
n-polokeho	n-polokeho
Ha	hao
re	re
tloh-el-e-ng	tlohel-e-ng
ho	ho
rek-a	rek-a
thepa	thep-a
utsw-its-w-e-ng	uts-its-w-w-e-ng
Ka	Ja
di-nako	di-nako
tsohle	tshol-e
ha	ha
re	re
b-e-ng	beng
ma-lala	ma-lal-a
la-o-ts-w-e	laots-w-e
ho	ho
f-an-a	fan-a
ka	k-a
n-tlhahiso	n-tlhahiso
le-sedi-ng	le-seding
ya	y-a
di-ketso	di-ketso
tsa	ts-a
bo-tlokotsebe	bo-tlokotsebe
se-polese-ng	se-poleseng
N-Tshebedisano	N-Tshebedisano
mmoho	mo-mho
etl-a	et-l-a
lw-an-tsh-a	lwantsha
bo-tlokotsebe	bo-tlokotsebe
Ba-heso	ba-heso
le	le
ba-eti	ba-eti
ba	b-a
hlomph-eh-a-ng	hloph-ma-n-e-ng
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
lok-el-a	lok-el-a
ho	ho
sebets-a	sebets-a
bo-masepala	bo-samelapa
ba	b-a
lok-el-a	lok-el-a
ho	ho
ntla-fa-ts-a	ntla-fa-ts-a
n-phano	n-phano
ya	y-a
ma-tlo	ma-tlo
me-tsi	me-tsi
n-tlhweko	tlhweko
mo-tlakase	mo-tlakase
n-taolo	n-taolo
ya	y-a
ma-tlakala	ma-tlakala
le	le
di-tsela	di-tsela
Re	Re
il-e	il-e
ra	ra
tshwar-a	tshwar-a
n-kopano	n-kopano
le	le
bo-majoro	bo-amoro
le	le
ba-laodi	ba-laodi
ba	b-a
bo-masepala	bo-masebala
se-lemo-ng	se-lemong
se	se
fet-il-e-ng	fet-il-e-ng
Sena	se-an
se	se
f-an-e	f-an-e
ka	k-a
le-sedi	le-sedi
la	l-a
bo-hlokwa	bo-hlokwa
se-bake-ng	ba-keng
sa	s-a
di-phephetso	di-phephetso
tse	ts-e
teng	teng
ka	k-a
hara	har-a
mo-mmuso	mm-uso
wa	wa
le-hae	le-hae
Re	Re
il-e	il-e
ra	ra
bo-el-a	bo-el-a
ra	ra
et-el-a	et-el-a
ba-ahi	ba-ahi
le	le
bo-masepala	bo-masebala
ba	b-a
fapan-e-ng	fapan-e-ng
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
Balfour	ba-lofuri
Mpumalanga	mu-pmalana
le	le
Thembisa	heb-is-ad-i
Gaute-ng	aut-e-ng
le-eto	le-eto
la	l-a
Balfour	ba-lofuri
re	re
il-e	il-e
ra	ra
rom-el-a	rom-el-a
mo-ifo	mo-fio
wa	wa
ma-tona	ma-tona
robong	robong
ho	ho
et-el-a	et-el-a
N-Tulo	n-tulo
eo	eo
ho	ho
sheb-an-a	sheb-an-a
le	le
di-ntlha	di-ntlha
tse	ts-e
hlah-is-its-w-e-ng	hlah-is-its-w-e-ng
ke	ke
ba-ahi	ba-ahi
di-ntlha	di-ntlha
tse	ts-e
ngata	ngata
ho	ho
s-e	se
ho	ho
mekamekan-w-e	mek-makerane
le	le
tsona	tson-a
Ke	Fe
la-e-ts-e	la-ets-e
ma-tona	ma-tona
ho	ho
mekamekan-a	me-kemakana
le	le
di-taba	di-taba
tse	ts-e
nts-e-ng	nts-e-ng
di	di
sal-ets-e	sa-letse
mo-rao	mo-rao
Re	Re
sa	s-a
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
hore	hore
ha	ha
hona	hon-a
di-ngongoreho	di-ngongoheo
tse	ts-e
ka	k-a
ets-a-ng	ets-a-ng
hore	hore
ba-tho	ba-tho
ba	b-a
ets-e	ets-e
me-rusu	me-rusu
le	le
ho	ho
seny-a	se-nya
thepa	thep-a
Re	Re
la-e-ts-e	la-ets-e
